cause_id,cause_name
602,Other urinary diseases
603,Gynecological diseases
604,Uterine fibroids
607,Endometriosis
608,Genital prolapse
612,Other gynecological diseases
613,Hemoglobinopathies and hemolytic anemias
614,Thalassemias
615,Sickle cell disorders
616,G6PD deficiency
618,Other hemoglobinopathies and hemolytic anemias
619,"Endocrine, metabolic, blood, and immune disorders"
626,Musculoskeletal disorders
627,Rheumatoid arthritis
639,Other musculoskeletal disorders
640,Other non-communicable diseases
641,Congenital birth defects
642,Neural tube defects
345,Malaria
346,Chagas disease
347,Leishmaniasis
348,Visceral leishmaniasis
350,African trypanosomiasis
351,Schistosomiasis
352,Cysticercosis
353,Cystic echinococcosis
357,Dengue
358,Yellow fever
359,Rabies
360,Intestinal nematode infections
361,Ascariasis
365,Other neglected tropical diseases
366,Maternal disorders
367,Maternal hemorrhage
368,Maternal sepsis and other maternal infections
369,Maternal hypertensive disorders
370,Maternal obstructed labor and uterine rupture
374,Ectopic pregnancy
375,Indirect maternal deaths
376,Late maternal deaths
379,Other direct maternal disorders (internal)
1026,Total burden related to hepatitis B
1027,Total burden related to hepatitis C
1028,Total burden related to Non-alcoholic fatty liver disease (NAFLD)
1029,Total cancers
1048,COVID-19
1056,Other unintentional injuries
1058,Other COVID-19 pandemic-related outcomes
1059,Total Cancers excluding Non-melanoma skin cancer
410,Neoplasms
411,Esophageal cancer
414,Stomach cancer
417,Liver cancer
418,Liver cancer due to hepatitis B
419,Liver cancer due to hepatitis C
420,Liver cancer due to alcohol use
421,Liver cancer due to other causes
423,Larynx cancer
426,"Tracheal, bronchus, and lung cancer"
429,Breast cancer
432,Cervical cancer
435,Uterine cancer
438,Prostate cancer
441,Colon and rectum cancer
444,Lip and oral cavity cancer
447,Nasopharynx cancer
450,Other pharynx cancer
453,Gallbladder and biliary tract cancer
456,Pancreatic cancer
721,Self-harm by firearm
723,Self-harm by other specified means (internal)
724,Interpersonal violence
725,Physical violence by firearm
726,Physical violence by sharp object
727,Physical violence by other means
729,Exposure to forces of nature
741,Maternal deaths aggravated by HIV/AIDS
842,Environmental heat and cold exposure
843,Ebola
845,Acute lymphoid leukemia
846,Chronic lymphoid leukemia
847,Acute myeloid leukemia
848,Chronic myeloid leukemia
849,Non-melanoma skin cancer (squamous-cell carcinoma)
854,Police conflict and executions
934,Drug-susceptible tuberculosis
935,Zika virus
487,Leukemia
489,Other malignant neoplasms
490,Other neoplasms
491,Cardiovascular diseases
492,Rheumatic heart disease
493,Ischemic heart disease
494,Stroke
495,Ischemic stroke
643,Congenital heart anomalies
501,Aortic aneurysm
