location_id,location_name,country_code
160,Afghanistan,AFG
43,Albania,ALB
139,Algeria,DZA
298,American Samoa,ASM
74,Andorra,AND
168,Angola,AGO
105,Antigua and Barbuda,ATG
97,Argentina,ARG
33,Armenia,ARM
71,Australia,AUS
75,Austria,AUT
34,Azerbaijan,AZE
106,Bahamas,BHS
140,Bahrain,BHR
161,Bangladesh,BGD
107,Barbados,BRB
57,Belarus,BLR
76,Belgium,BEL
108,Belize,BLZ
200,Benin,BEN
305,Bermuda,BMU
162,Bhutan,BTN
121,Bolivia,BOL
44,Bosnia and Herzegovina,BIH
193,Botswana,BWA
135,Brazil,BRA
66,Brunei Darussalam,BRN
45,Bulgaria,BGR
201,Burkina Faso,BFA
175,Burundi,BDI
203,Cabo Verde,CPV
10,Cambodia,KHM
202,Cameroon,CMR
101,Canada,CAN
169,Central African Republic,CAF
204,Chad,TCD
98,Chile,CHL
6,China,CHN
125,Colombia,COL
176,Comoros,COM
170,"Congo, Rep.",COG
320,Cook Islands,
126,Costa Rica,CRI
46,Croatia,HRV
109,Cuba,CUB
77,Cyprus,CYP
47,Czechia,CZE
205,Côte d'Ivoire,CIV
7,"Korea, Dem. Rep.",PRK
171,"Congo, Dem. Rep.",COD
78,Denmark,DNK
177,Djibouti,DJI
110,Dominica,DMA
111,Dominican Republic,DOM
122,Ecuador,ECU
141,"Egypt, Arab Rep.",EGY
127,El Salvador,SLV
172,Equatorial Guinea,GNQ
178,Eritrea,ERI
58,Estonia,EST
197,Eswatini,SWZ
179,Ethiopia,ETH
22,Fiji,FJI
79,Finland,FIN
80,France,FRA
173,Gabon,GAB
206,Gambia,GMB
35,Georgia,GEO
81,Germany,DEU
207,Ghana,GHA
82,Greece,GRC
349,Greenland,GRL
112,Grenada,GRD
351,Guam,GUM
128,Guatemala,GTM
208,Guinea,GIN
209,Guinea-Bissau,GNB
113,Guyana,GUY
114,Haiti,HTI
129,Honduras,HND
48,Hungary,HUN
83,Iceland,ISL
163,India,IND
11,Indonesia,IDN
142,"Iran, Islamic Rep.",IRN
143,Iraq,IRQ
84,Ireland,IRL
85,Israel,ISR
86,Italy,ITA
115,Jamaica,JAM
67,Japan,JPN
144,Jordan,JOR
36,Kazakhstan,KAZ
180,Kenya,KEN
23,Kiribati,KIR
145,Kuwait,KWT
37,Kyrgyz Republic,KGZ
12,Lao PDR,LAO
59,Latvia,LVA
146,Lebanon,LBN
194,Lesotho,LSO
210,Liberia,LBR
147,Libya,LBY
60,Lithuania,LTU
87,Luxembourg,LUX
181,Madagascar,MDG
182,Malawi,MWI
13,Malaysia,MYS
14,Maldives,MDV
211,Mali,MLI
88,Malta,MLT
24,Marshall Islands,MHL
212,Mauritania,MRT
183,Mauritius,MUS
130,Mexico,MEX
25,"Micronesia, Fed. Sts.",FSM
367,Monaco,MCO
38,Mongolia,MNG
50,Montenegro,MNE
148,Morocco,MAR
184,Mozambique,MOZ
15,Myanmar,MMR
195,Namibia,NAM
369,Nauru,NRU
164,Nepal,NPL
89,Netherlands,NLD
72,New Zealand,NZL
131,Nicaragua,NIC
213,Niger,NER
214,Nigeria,NGA
374,Niue,
49,North Macedonia,MKD
376,Northern Mariana Islands,MNP
90,Norway,NOR
150,Oman,OMN
165,Pakistan,PAK
380,Palau,PLW
149,Palestine,
132,Panama,PAN
26,Papua New Guinea,PNG
136,Paraguay,PRY
123,Peru,PER
16,Philippines,PHL
51,Poland,POL
91,Portugal,PRT
385,Puerto Rico,PRI
151,Qatar,QAT
68,"Korea, Rep.",KOR
61,Moldova,MDA
52,Romania,ROU
62,Russian Federation,RUS
185,Rwanda,RWA
393,St. Kitts and Nevis,KNA
116,St. Lucia,LCA
117,St. Vincent and the Grenadines,VCT
27,Samoa,WSM
396,San Marino,SMR
215,Sao Tome and Principe,STP
152,Saudi Arabia,SAU
216,Senegal,SEN
53,Serbia,SRB
186,Seychelles,SYC
217,Sierra Leone,SLE
69,Singapore,SGP
54,Slovak Republic,SVK
55,Slovenia,SVN
28,Solomon Islands,SLB
187,Somalia,SOM
196,South Africa,ZAF
435,South Sudan,SSD
92,Spain,ESP
17,Sri Lanka,LKA
522,Sudan,SDN
118,Suriname,SUR
93,Sweden,SWE
94,Switzerland,CHE
153,Syrian Arab Republic,SYR
8,"Taiwan, China",TWN
39,Tajikistan,TJK
18,Thailand,THA
19,Timor-Leste,TLS
218,Togo,TGO
413,Tokelau,
29,Tonga,TON
119,Trinidad and Tobago,TTO
154,Tunisia,TUN
40,Turkmenistan,TKM
416,Tuvalu,TUV
155,Türkiye,TUR
190,Uganda,UGA
63,Ukraine,UKR
156,United Arab Emirates,ARE
95,United Kingdom,GBR
189,Tanzania,TZA
102,United States of America,USA
422,Virgin Islands (U.S.),VIR
99,Uruguay,URY
41,Uzbekistan,UZB
30,Vanuatu,VUT
133,"Venezuela, RB",VEN
20,Viet Nam,VNM
157,"Yemen, Rep.",YEM
191,Zambia,ZMB
198,Zimbabwe,ZWE
